Sno.,Comment,"Overall Experience	"
,,
,,
,,
1,,"good,improved knowledgeof lab"
2,they did not accept one of the certificate and also raised NC but later they did on mailing them., liked the team and they provide fruitful suggestions for the lab
3,,"extraordinary knowledge regarding the parameters which have been applied for the Nabl,thorough going with the clauses. it was very good."
4,,very good with those people
5,,
6,,its fine fanastic
7,,
8,hybrid mode,"hybrid mode requires to prepare lot of the things , either the assessment  should be fully virtual and onsite"
9,the portal was not working and they could not see the NC's, -
10,,OVER ALL  EXPERIENCE WAS GOOD.ALL THE ASSESSORS WERE  POLITE AND COOPERATIVE
11,,IT WAS GOOD
12,,IT WAS OK 
13,, EXPERIENCE WAS GOOD 
14,,VERY GOOD. 
15,only issue was the technical assessor,it was good better than the assessment held in march
16,,
17,,it was good
18,,EXCELLENT
19,,good.
20,,
21,,GOOD
22,,it was good.
23,,VERY GOOD
24,,
25,, IT WAS GOOD.
26,There was miscommunication due to virtual mode.,Very Good. 
27,,AWESOME
28,,it was good
29,THE REMOTE AREA ONE ASSESSOR WAS ON THEIR HE WAS NOT ABLE TO CONNECT US PROPERLY ,IT WAS GOOD 
30,,EXCELLENT
31,,IT WAS GOOD
32,,Excellent
33,,EXCELLENT
34,,good experience.
35,,overall experience was good.
36,,good.
37,,Good. Everything was done timely. ONE SUGGESTION is that they should not interfere in other things.
38,,VERY GOOD.
39,THERE SHOULD BE A COMMON RULES FOR EVERYONE. TWO ASSESSORS SHOULD AGREE ON THE SAME THING.,EXCELLENT. BUT ONLY THING WE FOUND ODD WAS THAT THE NC RAISED FOR TEMPERATURE AND HUMIDITY.
40,,
41,,VERY GOOD
42,,GOOD.
43,,
44,,
45,,
46,, good experience.
47,,It was Great.
48,,VERY GOOD.
49,,GOOD
50,,IT WAS VERY GOOD
51,,VERY FINE
52,,excellent.
53,,Good
54,,overall experience was good.
55,,
56,,"


Good. It was smoothly conducted.




"
57,,
58,,GOOD
59,,it was good
60,,IT WAS GOOD 
61,,it was satisfactory
62,,IT WAS GOOD
63,,
64,,
65,,assessment was satisfactory because assessors has lots  of knowledge.
66,,overall experience wa excellent.
67,,
68,,very good. 
69,,EXPERIENCE WAS GOOD. 
70,,Excellent
71,LANGUAGE PROBLEM,GOOD
72,,it was excellent 
73,,EXCELLENT
74,,GOOD
75,,
76,,VERY GOOD
77,,VERY NICE ASSESSORS WERE VERY COOPERATIVE AND INFORMATIVE.
78,,VERY GOOD.
79,,Fine. The process is very slow and NABL site does not work well. Mr. Dheeraj Chawla is very helful now but before him the NABL used to take a lot of time to repond. 
80,,REALLY VERY GOOD.
81,,VERY GOOD
82,,
83,, Experience was good. The assessors were very cooperative and patient.
84,,
85,,
86,,EXCELLENT.
87,,it was good
88,,
89,"In every assessment, different assessor state different standards for the uncertainity. It should be standardised because we face problem in it everytime.",5. It was good.
90,,VERY GOOD.
91,,it was good but we have a issue that NABL should inform and tell about changing of paper. At least they should inform about it in mail or something because otherwise they tell us about it during the audit and then the whole process gets interrupted. NABL has made many amendments in the recent years and the changes are very frequent.
92,,THE ASSESSOR WAS VERY GOOD AND THE WAY HE TOOK ASSESSMENT WAS VERY NICE. OVERALL IT WAS GREAT EXPERIENCE.
